"sep.scale","slurry.source","DM.raw.mean","DM.liquid.mean","DM.solid.mean","dDM.liquid.mean","dDM.solid.mean","rdDM.liquid.mean","rdDM.solid.mean","DM.raw.sd","DM.liquid.sd","DM.solid.sd","dDM.liquid.sd","dDM.solid.sd","rdDM.liquid.sd","rdDM.solid.sd","DM.raw.n","DM.liquid.n","DM.solid.n","dDM.liquid.n","dDM.solid.n","rdDM.liquid.n","rdDM.solid.n"
"full","cattle",7.09304347826087,3.2316149068323,25.585,-3.91876623376623,19.4,-55.2145312777458,479.321467525693,1.70997723212543,1.80921565352367,8.12516051123505,1.48181016972387,10.6348483769163,19.8836179598467,549.302439154268,23,23,4,22,4,22,4
"full","cattle digestate",5.1,2.9,38.1,-2.2,33,-43.1372549019608,647.058823529412,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1
"full","digestate",4.2,3.16666666666667,NA,-1.03333333333333,NA,-26.3095238095238,NA,1.21243556529821,1.32790561913614,NA,0.115470053837926,NA,8.86645056255498,NA,3,3,0,3,0,3,0
"full","pig",3.945,1.925,22.325,-2.02,18.38,-49.1299335049335,490.018768768769,0.824681756800767,0.396862696659689,4.90739238292599,1.08194269718872,5.35315483305561,16.526731724681,197.854612924524,4,4,4,4,4,4,4
"lab","cattle",7.53666666666667,4.64555555555556,19.2,-2.89111111111111,11.74,-38.0391890489513,157.372654155496,1.43213949369877,1.39329897227544,NA,1.60396434935036,NA,13.1305446043886,NA,18,18,1,18,1,18,1
"lab","digestate",6.275,4.595,15.55,-1.68,9.275,-26.7882992934675,147.785419322724,0.0212132034355966,0.586898628384834,0.919238815542511,0.565685424949238,0.898025612106915,9.10546743227566,13.8115631945472,2,2,2,2,2,2,2
"lab","digested pig",3.4,2.3,NA,-1.1,NA,-32.3529411764706,NA,0,0,NA,0,NA,0,NA,2,2,0,2,0,2,0
"lab","pig",NA,1.725,16.68,NA,NA,NA,NA,NA,0.601040764008565,NA,NA,NA,NA,NA,0,2,1,0,0,0,0
"pilot","digested pig",NA,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0
"pilot","pig",5.25666666666667,2.4025,NA,-2.49166666666667,NA,-47.1392164489154,NA,1.17761906687463,1.07461288710998,NA,0.936705218660954,NA,14.658173309884,NA,6,8,0,6,0,6,0
"unknown","cattle",5.79,2.65333333333333,NA,-3.13666666666667,NA,-54.1738629821531,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,0
"unknown","pig",3.33333333333333,1.83333333333333,NA,-1.7,NA,-53.0448717948718,NA,1.27017059221718,0.900370294193821,NA,0.360555127546399,NA,8.92126003827999,NA,3,6,0,3,0,3,0
